Time (Minutes),Pages Crawled,Keywords Extracted,Pages TODO
0.011104633333333334,1,5,65
0.01634725,2,6,77
0.0175289,3,8,80
0.01781681666666667,4,9,85
0.018253833333333334,5,9,89
0.018569033333333332,6,9,95
0.01892366666666667,7,11,113
0.01935195,8,13,128
0.019638549999999998,9,13,135
0.0200098,10,13,137
0.020276466666666666,11,14,141
0.024900933333333333,12,16,148
0.025219416666666668,13,17,158
0.02551995,14,17,161
0.0258332,15,18,164
0.02611865,16,19,166
0.02640495,17,20,168
0.026674733333333332,18,20,171
0.02693868333333333,19,21,173
0.027480333333333332,20,21,177
0.027536833333333333,21,25,176
0.02981295,22,25,189
0.030111449999999998,23,26,194
0.030421849999999997,24,27,197
0.03065703333333333,25,27,196
0.031106883333333335,26,32,199
0.031380566666666665,27,32,210
0.031710833333333334,28,34,215
0.032472266666666666,29,34,218
0.03423338333333333,30,39,270
0.034680716666666674,32,39,276
0.035289716666666665,34,41,290
0.03606325,35,46,299
0.03710795,36,46,310
0.037393083333333334,37,46,320
0.03767603333333334,38,46,328
0.03776135,39,50,334
0.03828746666666667,40,50,337
0.03859955,41,50,351
0.03889178333333333,42,55,350
0.03918083333333333,43,56,353
0.039934866666666666,44,57,356
0.041432816666666664,45,58,360
0.0424724,48,61,363
0.04290061666666667,49,61,366
0.043293283333333335,50,62,369
0.04340873333333333,51,67,368
0.04389415,52,69,367
0.044253883333333334,53,69,379
0.044540083333333334,54,69,382
0.04489461666666667,55,69,384
0.04604405,56,69,393
0.0465238,59,69,395
0.046872083333333335,60,69,397
0.047235966666666664,61,69,400
0.047740083333333336,62,70,403
0.0481392,63,70,406
0.0484791,65,70,407
0.04982648333333333,66,70,409
0.05014533333333333,67,70,423
0.05049753333333333,68,70,426
0.05084958333333334,69,70,429
0.052213749999999996,70,70,436
0.05259523333333334,71,70,435
0.052908133333333336,72,70,446
0.05396965,73,71,449
0.054209933333333335,74,73,457
0.054633133333333334,75,73,459
0.0549295,76,73,461
0.05531855,77,73,474
0.05623776666666667,78,73,476
0.056553,79,73,479
0.057345349999999996,80,73,482
0.057566400000000004,82,76,488
0.06034896666666667,83,76,492
0.06070678333333333,84,76,505
0.06123691666666666,85,76,516
0.06276871666666667,86,76,519
0.06308813333333334,87,76,522
0.06333281666666667,88,76,548
0.06364521666666666,89,77,551
0.06584685,90,81,558
0.0679555,91,84,562
0.06845936666666666,92,84,568
0.06876766666666666,93,84,580
0.06914780000000001,94,84,582
0.06971263333333333,95,84,593
0.07009018333333333,96,84,596
0.070255,97,86,599
0.07141868333333333,98,86,602
0.07170760000000001,99,90,608
0.07252786666666666,100,90,609
0.07447895,102,90,609
0.07473661666666667,103,90,610
0.07501991666666667,104,90,612
0.07523073333333333,105,94,617
0.07545561666666667,106,99,618
0.07568958333333334,107,102,617
0.07666346666666667,108,106,618
0.07690179999999999,109,110,617
0.07766853333333333,110,113,616
0.07868898333333334,111,113,628
0.07898143333333334,112,113,632
0.07940356666666666,113,113,634
0.08147383333333333,116,116,634
0.08353843333333333,118,116,635
0.08440546666666666,119,120,636
0.08471526666666666,120,120,639
0.08499111666666666,121,120,642
0.08630098333333333,122,120,654
0.08681638333333333,123,123,656
0.08716685,124,123,658
0.08786865,125,123,666
0.08898948333333333,126,124,669
0.09017753333333332,127,124,671
0.09056008333333333,128,124,673
0.09477233333333333,129,124,677
0.09519795,130,124,691
0.09530823333333333,131,125,692
0.09826085,132,125,694
0.10084745,134,126,696
0.10135645,135,130,699
0.10384693333333334,136,130,701
0.10614554999999999,138,130,701
0.10627521666666667,139,132,700
0.10904346666666667,141,132,713
0.10961965,142,133,716
0.11259226666666668,143,133,718
0.11294585,144,133,720
0.11628795,145,133,722
0.11654236666666667,146,134,723
0.11686515,147,136,726
0.1171738,148,136,728
0.11915513333333334,149,136,730
0.11943798333333334,150,136,732
0.11972175,151,136,734
0.12003986666666666,152,136,737
0.12204778333333333,153,136,746
0.12236325,154,136,748
0.1226277,155,136,750
0.12371608333333332,156,136,759
0.12462124999999999,157,136,761
0.12486548333333333,158,136,764
0.1257306,159,136,766
0.12601779999999999,160,136,768
0.1263377,161,136,770
0.12838021666666666,162,136,774
0.12877371666666665,163,136,776
0.12903198333333335,164,136,778
0.1290898,165,138,779
0.12934938333333335,166,138,782
